Fiscal Year,County,Region,Confirmed Victims,Victims
2024,Lipscomb,1-Lubbock,Confirmed Victim,2
2024,Lubbock,1-Lubbock,Not Confirmed,2512
2024,Lubbock,1-Lubbock,Confirmed Victim,783
2024,Lynn,1-Lubbock,Not Confirmed,43
2024,Lynn,1-Lubbock,Confirmed Victim,14
2024,Moore,1-Lubbock,Not Confirmed,189
2024,Moore,1-Lubbock,Confirmed Victim,58
2024,Motley,1-Lubbock,Not Confirmed,4
2024,Motley,1-Lubbock,Confirmed Victim,4
2024,Ochiltree,1-Lubbock,Not Confirmed,59
2024,Ochiltree,1-Lubbock,Confirmed Victim,10
2024,Oldham,1-Lubbock,Not Confirmed,3
2024,Oldham,1-Lubbock,Confirmed Victim,5
2024,Parmer,1-Lubbock,Not Confirmed,48
2024,Parmer,1-Lubbock,Confirmed Victim,12
2024,Potter,1-Lubbock,Not Confirmed,1512
2024,Potter,1-Lubbock,Confirmed Victim,444
2024,Randall,1-Lubbock,Not Confirmed,1060
2024,Randall,1-Lubbock,Confirmed Victim,317
2024,Roberts,1-Lubbock,Not Confirmed,1
2024,Sherman,1-Lubbock,Not Confirmed,17
2024,Sherman,1-Lubbock,Confirmed Victim,2
2024,Swisher,1-Lubbock,Not Confirmed,49
2024,Swisher,1-Lubbock,Confirmed Victim,25
2024,Terry,1-Lubbock,Not Confirmed,106
2024,Terry,1-Lubbock,Confirmed Victim,52
2024,Wheeler,1-Lubbock,Not Confirmed,47
2024,Wheeler,1-Lubbock,Confirmed Victim,9
2024,Yoakum,1-Lubbock,Not Confirmed,41
2024,Yoakum,1-Lubbock,Confirmed Victim,6
2024,Archer,2-Abilene,Not Confirmed,43
2024,Archer,2-Abilene,Confirmed Victim,15
2024,Baylor,2-Abilene,Not Confirmed,31
2024,Baylor,2-Abilene,Confirmed Victim,15
2024,Brown,2-Abilene,Not Confirmed,434
2024,Brown,2-Abilene,Confirmed Victim,167
2024,Callahan,2-Abilene,Not Confirmed,128
2024,Callahan,2-Abilene,Confirmed Victim,75
2024,Clay,2-Abilene,Not Confirmed,61
2024,Clay,2-Abilene,Confirmed Victim,22
2024,Coleman,2-Abilene,Not Confirmed,60
2024,Coleman,2-Abilene,Confirmed Victim,29
2024,Comanche,2-Abilene,Not Confirmed,98
2024,Comanche,2-Abilene,Confirmed Victim,61
2024,Cottle,2-Abilene,Not Confirmed,5
2024,Cottle,2-Abilene,Confirmed Victim,1
2024,Eastland,2-Abilene,Not Confirmed,190
2024,Eastland,2-Abilene,Confirmed Victim,85
2024,Fisher,2-Abilene,Not Confirmed,57
2024,Fisher,2-Abilene,Confirmed Victim,18
2024,Foard,2-Abilene,Not Confirmed,7
2024,Hardeman,2-Abilene,Not Confirmed,32
2024,Hardeman,2-Abilene,Confirmed Victim,7
2024,Haskell,2-Abilene,Not Confirmed,64
2024,Haskell,2-Abilene,Confirmed Victim,15
2024,Jack,2-Abilene,Not Confirmed,58
2024,Jack,2-Abilene,Confirmed Victim,25
2024,Jones,2-Abilene,Not Confirmed,133
2024,Jones,2-Abilene,Confirmed Victim,38
2024,Kent,2-Abilene,Not Confirmed,6
2024,Kent,2-Abilene,Confirmed Victim,4
2024,Knox,2-Abilene,Not Confirmed,19
2024,Knox,2-Abilene,Confirmed Victim,13
2024,Mitchell,2-Abilene,Not Confirmed,63
2024,Mitchell,2-Abilene,Confirmed Victim,24
2024,Montague,2-Abilene,Not Confirmed,164
2024,Montague,2-Abilene,Confirmed Victim,64
2024,Nolan,2-Abilene,Not Confirmed,172
2024,Nolan,2-Abilene,Confirmed Victim,99
2024,Runnels,2-Abilene,Not Confirmed,146
2024,Runnels,2-Abilene,Confirmed Victim,41
2024,Scurry,2-Abilene,Not Confirmed,162
2024,Scurry,2-Abilene,Confirmed Victim,101
2024,Shackelford,2-Abilene,Not Confirmed,45
2024,Shackelford,2-Abilene,Confirmed Victim,13
2024,Stephens,2-Abilene,Not Confirmed,46
2024,Stephens,2-Abilene,Confirmed Victim,37
2024,Stonewall,2-Abilene,Not Confirmed,12
2024,Stonewall,2-Abilene,Confirmed Victim,10
2024,Taylor,2-Abilene,Not Confirmed,1708
2024,Taylor,2-Abilene,Confirmed Victim,832
2024,Throckmorton,2-Abilene,Not Confirmed,10
2024,Throckmorton,2-Abilene,Confirmed Victim,3
2024,Wichita,2-Abilene,Not Confirmed,1298
2024,Wichita,2-Abilene,Confirmed Victim,431
2024,Wilbarger,2-Abilene,Not Confirmed,101
2024,Wilbarger,2-Abilene,Confirmed Victim,41
2024,Young,2-Abilene,Not Confirmed,140
2024,Young,2-Abilene,Confirmed Victim,81
2024,Collin,3-Arlington,Not Confirmed,3920
2024,Collin,3-Arlington,Confirmed Victim,998
2024,Cooke,3-Arlington,Not Confirmed,311
2024,Cooke,3-Arlington,Confirmed Victim,97
2024,Dallas,3-Arlington,Not Confirmed,13715
2024,Dallas,3-Arlington,Confirmed Victim,4889
2024,Denton,3-Arlington,Not Confirmed,3104
2024,Denton,3-Arlington,Confirmed Victim,1148
2024,Ellis,3-Arlington,Not Confirmed,1156
2024,Ellis,3-Arlington,Confirmed Victim,328
2024,Erath,3-Arlington,Not Confirmed,261
2024,Erath,3-Arlington,Confirmed Victim,70
2024,Fannin,3-Arlington,Not Confirmed,265
2024,Fannin,3-Arlington,Confirmed Victim,51
2024,Grayson,3-Arlington,Not Confirmed,1186
2024,Grayson,3-Arlington,Confirmed Victim,176
2024,Hood,3-Arlington,Not Confirmed,493
2024,Hood,3-Arlington,Confirmed Victim,172
2024,Hunt,3-Arlington,Not Confirmed,899
2024,Hunt,3-Arlington,Confirmed Victim,156
2024,Johnson,3-Arlington,Not Confirmed,1306
2024,Johnson,3-Arlington,Confirmed Victim,439
2024,Kaufman,3-Arlington,Not Confirmed,1223
2024,Kaufman,3-Arlington,Confirmed Victim,430
2024,Navarro,3-Arlington,Not Confirmed,310
2024,Navarro,3-Arlington,Confirmed Victim,129
2024,Palo Pinto,3-Arlington,Not Confirmed,309
2024,Palo Pinto,3-Arlington,Confirmed Victim,103
2024,Parker,3-Arlington,Not Confirmed,910
2024,Parker,3-Arlington,Confirmed Victim,308
2024,Rockwall,3-Arlington,Not Confirmed,561
2024,Rockwall,3-Arlington,Confirmed Victim,175
2024,Somervell,3-Arlington,Not Confirmed,71
2024,Somervell,3-Arlington,Confirmed Victim,26
2024,Tarrant,3-Arlington,Not Confirmed,12603
2024,Tarrant,3-Arlington,Confirmed Victim,4719
2024,Wise,3-Arlington,Not Confirmed,458
2024,Wise,3-Arlington,Confirmed Victim,164
2024,Anderson,4-Tyler,Not Confirmed,343
2024,Anderson,4-Tyler,Confirmed Victim,120
2024,Bowie,4-Tyler,Not Confirmed,751
2024,Bowie,4-Tyler,Confirmed Victim,198
2024,Camp,4-Tyler,Not Confirmed,80
2024,Camp,4-Tyler,Confirmed Victim,37
2024,Cass,4-Tyler,Not Confirmed,251
2024,Cass,4-Tyler,Confirmed Victim,87
2024,Cherokee,4-Tyler,Not Confirmed,430
2024,Cherokee,4-Tyler,Confirmed Victim,162
2024,Delta,4-Tyler,Not Confirmed,47
2024,Delta,4-Tyler,Confirmed Victim,14
2024,Franklin,4-Tyler,Not Confirmed,74
2024,Franklin,4-Tyler,Confirmed Victim,19
2024,Gregg,4-Tyler,Not Confirmed,832
2024,Gregg,4-Tyler,Confirmed Victim,337
2024,Harrison,4-Tyler,Not Confirmed,466
2024,Harrison,4-Tyler,Confirmed Victim,95
2024,Henderson,4-Tyler,Not Confirmed,702
2024,Henderson,4-Tyler,Confirmed Victim,325
2024,Hopkins,4-Tyler,Not Confirmed,291
2024,Hopkins,4-Tyler,Confirmed Victim,97
2024,Lamar,4-Tyler,Not Confirmed,429
2024,Lamar,4-Tyler,Confirmed Victim,125
2024,Marion,4-Tyler,Not Confirmed,85
2024,Marion,4-Tyler,Confirmed Victim,24
2024,Morris,4-Tyler,Not Confirmed,136
2024,Morris,4-Tyler,Confirmed Victim,42
2024,Panola,4-Tyler,Not Confirmed,156
2024,Panola,4-Tyler,Confirmed Victim,84
2024,Rains,4-Tyler,Not Confirmed,94
2024,Rains,4-Tyler,Confirmed Victim,15
2024,Red River,4-Tyler,Not Confirmed,128
2024,Red River,4-Tyler,Confirmed Victim,21
2024,Rusk,4-Tyler,Not Confirmed,357
2024,Rusk,4-Tyler,Confirmed Victim,160
2024,Smith,4-Tyler,Not Confirmed,1512
2024,Smith,4-Tyler,Confirmed Victim,735
2024,Titus,4-Tyler,Not Confirmed,239
2024,Titus,4-Tyler,Confirmed Victim,74
2024,Upshur,4-Tyler,Not Confirmed,322
2024,Upshur,4-Tyler,Confirmed Victim,108
2024,Van Zandt,4-Tyler,Not Confirmed,399
2024,Van Zandt,4-Tyler,Confirmed Victim,119
2024,Wood,4-Tyler,Not Confirmed,281
2024,Wood,4-Tyler,Confirmed Victim,113
2024,Angelina,5-Beaumont,Not Confirmed,876
2024,Angelina,5-Beaumont,Confirmed Victim,194
2024,Hardin,5-Beaumont,Not Confirmed,392
2024,Hardin,5-Beaumont,Confirmed Victim,101
2024,Houston,5-Beaumont,Not Confirmed,177
2024,Houston,5-Beaumont,Confirmed Victim,60
2024,Jasper,5-Beaumont,Not Confirmed,280
2024,Jasper,5-Beaumont,Confirmed Victim,46
2024,Jefferson,5-Beaumont,Not Confirmed,1814
2024,Jefferson,5-Beaumont,Confirmed Victim,535
2024,Nacogdoches,5-Beaumont,Not Confirmed,427
2024,Nacogdoches,5-Beaumont,Confirmed Victim,151
2024,Newton,5-Beaumont,Not Confirmed,101
2024,Newton,5-Beaumont,Confirmed Victim,21
2024,Orange,5-Beaumont,Not Confirmed,679
2024,Orange,5-Beaumont,Confirmed Victim,155
2024,Polk,5-Beaumont,Not Confirmed,517
2024,Polk,5-Beaumont,Confirmed Victim,133
2024,Sabine,5-Beaumont,Not Confirmed,52
2024,Sabine,5-Beaumont,Confirmed Victim,22
2024,San Augustine,5-Beaumont,Not Confirmed,61
2024,San Augustine,5-Beaumont,Confirmed Victim,15
2024,San Jacinto,5-Beaumont,Not Confirmed,286
2024,San Jacinto,5-Beaumont,Confirmed Victim,56
2024,Shelby,5-Beaumont,Not Confirmed,172
2024,Shelby,5-Beaumont,Confirmed Victim,72
2024,Trinity,5-Beaumont,Not Confirmed,101
2024,Trinity,5-Beaumont,Confirmed Victim,32
2024,Tyler,5-Beaumont,Not Confirmed,197
2024,Tyler,5-Beaumont,Confirmed Victim,49
2024,Austin,6-Houston,Not Confirmed,181
2024,Austin,6-Houston,Confirmed Victim,39
2024,Brazoria,6-Houston,Not Confirmed,1720
2024,Brazoria,6-Houston,Confirmed Victim,498
2024,Chambers,6-Houston,Not Confirmed,298
2024,Chambers,6-Houston,Confirmed Victim,92
2024,Colorado,6-Houston,Not Confirmed,120
2024,Colorado,6-Houston,Confirmed Victim,21
2024,Fort Bend,6-Houston,Not Confirmed,3401
2024,Fort Bend,6-Houston,Confirmed Victim,477
2024,Galveston,6-Houston,Not Confirmed,1685
2024,Galveston,6-Houston,Confirmed Victim,581
2024,Harris,6-Houston,Not Confirmed,27460
2024,Harris,6-Houston,Confirmed Victim,5959
2024,Liberty,6-Houston,Not Confirmed,800
2024,Liberty,6-Houston,Confirmed Victim,237
2024,Matagorda,6-Houston,Not Confirmed,307
2024,Matagorda,6-Houston,Confirmed Victim,65
2024,Montgomery,6-Houston,Not Confirmed,4243
2024,Montgomery,6-Houston,Confirmed Victim,800
2024,Walker,6-Houston,Not Confirmed,433
2024,Walker,6-Houston,Confirmed Victim,85
2024,Waller,6-Houston,Not Confirmed,311
2024,Waller,6-Houston,Confirmed Victim,48
2024,Wharton,6-Houston,Not Confirmed,273
2024,Wharton,6-Houston,Confirmed Victim,56
2024,Bastrop,7-Austin,Not Confirmed,675
2024,Bastrop,7-Austin,Confirmed Victim,220
2024,Bell,7-Austin,Not Confirmed,3342
2024,Bell,7-Austin,Confirmed Victim,1353
2024,Blanco,7-Austin,Not Confirmed,46
2024,Blanco,7-Austin,Confirmed Victim,14
2024,Bosque,7-Austin,Not Confirmed,118
2024,Bosque,7-Austin,Confirmed Victim,44
2024,Brazos,7-Austin,Not Confirmed,1264
2024,Brazos,7-Austin,Confirmed Victim,459
2024,Burleson,7-Austin,Not Confirmed,129
2024,Burleson,7-Austin,Confirmed Victim,39
2024,Burnet,7-Austin,Not Confirmed,334
2024,Burnet,7-Austin,Confirmed Victim,131
2024,Caldwell,7-Austin,Not Confirmed,390
2024,Caldwell,7-Austin,Confirmed Victim,100
2024,Coryell,7-Austin,Not Confirmed,752
2024,Coryell,7-Austin,Confirmed Victim,313
2024,Falls,7-Austin,Not Confirmed,106
2024,Falls,7-Austin,Confirmed Victim,79
2024,Fayette,7-Austin,Not Confirmed,143
2024,Fayette,7-Austin,Confirmed Victim,74
2024,Freestone,7-Austin,Not Confirmed,154
2024,Freestone,7-Austin,Confirmed Victim,41
2024,Grimes,7-Austin,Not Confirmed,193
2024,Grimes,7-Austin,Confirmed Victim,28
2024,Hamilton,7-Austin,Not Confirmed,93
2024,Hamilton,7-Austin,Confirmed Victim,26
2024,Hays,7-Austin,Not Confirmed,1079
2024,Hays,7-Austin,Confirmed Victim,428
2024,Hill,7-Austin,Not Confirmed,279
2024,Hill,7-Austin,Confirmed Victim,150
2024,Lampasas,7-Austin,Not Confirmed,152
2024,Lampasas,7-Austin,Confirmed Victim,88
2024,Lee,7-Austin,Not Confirmed,106
2024,Lee,7-Austin,Confirmed Victim,39
2024,Leon,7-Austin,Not Confirmed,125
2024,Leon,7-Austin,Confirmed Victim,40
2024,Limestone,7-Austin,Not Confirmed,166
2024,Limestone,7-Austin,Confirmed Victim,82
2024,Llano,7-Austin,Not Confirmed,173
2024,Llano,7-Austin,Confirmed Victim,42
2024,Madison,7-Austin,Not Confirmed,82
2024,Madison,7-Austin,Confirmed Victim,19
2024,McLennan,7-Austin,Not Confirmed,1946
2024,McLennan,7-Austin,Confirmed Victim,857
2024,Milam,7-Austin,Not Confirmed,249
2024,Milam,7-Austin,Confirmed Victim,64
2024,Mills,7-Austin,Not Confirmed,28
2024,Mills,7-Austin,Confirmed Victim,12
2024,Robertson,7-Austin,Not Confirmed,117
2024,Robertson,7-Austin,Confirmed Victim,75
2024,San Saba,7-Austin,Not Confirmed,24
2024,San Saba,7-Austin,Confirmed Victim,8
2024,Travis,7-Austin,Not Confirmed,5883
2024,Travis,7-Austin,Confirmed Victim,1787
2024,Washington,7-Austin,Not Confirmed,261
2024,Washington,7-Austin,Confirmed Victim,94
2024,Williamson,7-Austin,Not Confirmed,2880
2024,Williamson,7-Austin,Confirmed Victim,719
2024,Atascosa,8-San Antonio,Not Confirmed,548
2024,Atascosa,8-San Antonio,Confirmed Victim,105
2024,Bandera,8-San Antonio,Not Confirmed,164
2024,Bandera,8-San Antonio,Confirmed Victim,58
2024,Bexar,8-San Antonio,Not Confirmed,15198
2024,Bexar,8-San Antonio,Confirmed Victim,4800
2024,Calhoun,8-San Antonio,Not Confirmed,110
2024,Calhoun,8-San Antonio,Confirmed Victim,24
2024,Comal,8-San Antonio,Not Confirmed,992
2024,Comal,8-San Antonio,Confirmed Victim,226
2024,DeWitt,8-San Antonio,Not Confirmed,186
2024,DeWitt,8-San Antonio,Confirmed Victim,79
2024,Dimmit,8-San Antonio,Not Confirmed,117
2024,Dimmit,8-San Antonio,Confirmed Victim,20
2024,Edwards,8-San Antonio,Not Confirmed,11
2024,Edwards,8-San Antonio,Confirmed Victim,2
2024,Frio,8-San Antonio,Not Confirmed,201
2024,Frio,8-San Antonio,Confirmed Victim,71
2024,Gillespie,8-San Antonio,Not Confirmed,146
2024,Gillespie,8-San Antonio,Confirmed Victim,43
2024,Goliad,8-San Antonio,Not Confirmed,51
2024,Goliad,8-San Antonio,Confirmed Victim,4
2024,Gonzales,8-San Antonio,Not Confirmed,224
2024,Gonzales,8-San Antonio,Confirmed Victim,51
2024,Guadalupe,8-San Antonio,Not Confirmed,1386
2024,Guadalupe,8-San Antonio,Confirmed Victim,255
2024,Jackson,8-San Antonio,Not Confirmed,96
2024,Jackson,8-San Antonio,Confirmed Victim,23
2024,Karnes,8-San Antonio,Not Confirmed,129
2024,Karnes,8-San Antonio,Confirmed Victim,21
2024,Kendall,8-San Antonio,Not Confirmed,244
2024,Kendall,8-San Antonio,Confirmed Victim,41
2024,Kerr,8-San Antonio,Not Confirmed,362
2024,Kerr,8-San Antonio,Confirmed Victim,108
2024,Kinney,8-San Antonio,Not Confirmed,14
2024,La Salle,8-San Antonio,Not Confirmed,65
2024,La Salle,8-San Antonio,Confirmed Victim,17
2024,Lavaca,8-San Antonio,Not Confirmed,161
2024,Lavaca,8-San Antonio,Confirmed Victim,28
2024,Maverick,8-San Antonio,Not Confirmed,241
2024,Maverick,8-San Antonio,Confirmed Victim,87
2024,Medina,8-San Antonio,Not Confirmed,307
2024,Medina,8-San Antonio,Confirmed Victim,108
2024,Real,8-San Antonio,Not Confirmed,24
2024,Real,8-San Antonio,Confirmed Victim,1
2024,Uvalde,8-San Antonio,Not Confirmed,247
2024,Uvalde,8-San Antonio,Confirmed Victim,50
2024,Val Verde,8-San Antonio,Not Confirmed,263
2024,Val Verde,8-San Antonio,Confirmed Victim,76
2024,Victoria,8-San Antonio,Not Confirmed,892
2024,Victoria,8-San Antonio,Confirmed Victim,301
2024,Wilson,8-San Antonio,Not Confirmed,298
2024,Wilson,8-San Antonio,Confirmed Victim,91
2024,Zavala,8-San Antonio,Not Confirmed,138
2024,Zavala,8-San Antonio,Confirmed Victim,14
2024,Andrews,9-Midland,Not Confirmed,134
2024,Andrews,9-Midland,Confirmed Victim,24
2024,Borden,9-Midland,Not Confirmed,2
2024,Coke,9-Midland,Not Confirmed,18
2024,Coke,9-Midland,Confirmed Victim,4
2024,Concho,9-Midland,Not Confirmed,12
2024,Concho,9-Midland,Confirmed Victim,6
2024,Crane,9-Midland,Not Confirmed,14
2024,Crane,9-Midland,Confirmed Victim,10
2024,Crockett,9-Midland,Not Confirmed,9
2024,Crockett,9-Midland,Confirmed Victim,8
2024,Dawson,9-Midland,Not Confirmed,128
2024,Dawson,9-Midland,Confirmed Victim,9
2024,Ector,9-Midland,Not Confirmed,1443
2024,Ector,9-Midland,Confirmed Victim,343
2024,Gaines,9-Midland,Not Confirmed,133
2024,Gaines,9-Midland,Confirmed Victim,31
2024,Glasscock,9-Midland,Not Confirmed,4
2024,Howard,9-Midland,Not Confirmed,312
2024,Howard,9-Midland,Confirmed Victim,62
2024,Irion,9-Midland,Not Confirmed,13
2024,Kimble,9-Midland,Not Confirmed,41
2024,Kimble,9-Midland,Confirmed Victim,12
2024,Loving,9-Midland,Not Confirmed,1
2024,Loving,9-Midland,Confirmed Victim,1
2024,Martin,9-Midland,Not Confirmed,57
2024,Martin,9-Midland,Confirmed Victim,8
2024,Mason,9-Midland,Not Confirmed,14
2024,Mason,9-Midland,Confirmed Victim,1
2024,McCulloch,9-Midland,Not Confirmed,57
2024,McCulloch,9-Midland,Confirmed Victim,23
2024,Menard,9-Midland,Not Confirmed,5
2024,Menard,9-Midland,Confirmed Victim,3
2024,Midland,9-Midland,Not Confirmed,1296
2024,Midland,9-Midland,Confirmed Victim,252
2024,Pecos,9-Midland,Not Confirmed,86
2024,Pecos,9-Midland,Confirmed Victim,43
2024,Reagan,9-Midland,Not Confirmed,27
2024,Reagan,9-Midland,Confirmed Victim,7
2024,Reeves,9-Midland,Not Confirmed,83
2024,Reeves,9-Midland,Confirmed Victim,27
2024,Schleicher,9-Midland,Not Confirmed,11
2024,Schleicher,9-Midland,Confirmed Victim,3
2024,Sterling,9-Midland,Not Confirmed,7
2024,Sterling,9-Midland,Confirmed Victim,4
2024,Sutton,9-Midland,Not Confirmed,18
2024,Sutton,9-Midland,Confirmed Victim,8
2024,Terrell,9-Midland,Not Confirmed,1
2024,Tom Green,9-Midland,Not Confirmed,866
2024,Tom Green,9-Midland,Confirmed Victim,176
2024,Upton,9-Midland,Not Confirmed,10
2024,Upton,9-Midland,Confirmed Victim,14
2024,Ward,9-Midland,Not Confirmed,72
2024,Ward,9-Midland,Confirmed Victim,49
2024,Winkler,9-Midland,Not Confirmed,40
2024,Winkler,9-Midland,Confirmed Victim,14
2024,Brewster,10-El Paso,Not Confirmed,38
2024,Brewster,10-El Paso,Confirmed Victim,10
2024,Culberson,10-El Paso,Not Confirmed,16
2024,Culberson,10-El Paso,Confirmed Victim,4
2024,El Paso,10-El Paso,Not Confirmed,5081
2024,El Paso,10-El Paso,Confirmed Victim,1173
2024,Hudspeth,10-El Paso,Not Confirmed,18
2024,Hudspeth,10-El Paso,Confirmed Victim,6
2024,Jeff Davis,10-El Paso,Not Confirmed,7
2024,Jeff Davis,10-El Paso,Confirmed Victim,3
2024,Presidio,10-El Paso,Not Confirmed,26
2024,Presidio,10-El Paso,Confirmed Victim,15
2024,Aransas,11-Edinburg,Not Confirmed,183
2024,Aransas,11-Edinburg,Confirmed Victim,55
2024,Bee,11-Edinburg,Not Confirmed,217
2024,Bee,11-Edinburg,Confirmed Victim,52
2024,Brooks,11-Edinburg,Not Confirmed,103
2024,Brooks,11-Edinburg,Confirmed Victim,25
2024,Cameron,11-Edinburg,Not Confirmed,2571
2024,Cameron,11-Edinburg,Confirmed Victim,681
2024,Duval,11-Edinburg,Not Confirmed,114
2024,Duval,11-Edinburg,Confirmed Victim,37
2024,Hidalgo,11-Edinburg,Not Confirmed,5728
2024,Hidalgo,11-Edinburg,Confirmed Victim,1458
2024,Jim Hogg,11-Edinburg,Not Confirmed,44
2024,Jim Hogg,11-Edinburg,Confirmed Victim,14
2024,Jim Wells,11-Edinburg,Not Confirmed,414
2024,Jim Wells,11-Edinburg,Confirmed Victim,119
2024,Kenedy,11-Edinburg,Not Confirmed,2
2024,Kenedy,11-Edinburg,Confirmed Victim,1
2024,Kleberg,11-Edinburg,Not Confirmed,335
2024,Kleberg,11-Edinburg,Confirmed Victim,89
2024,Live Oak,11-Edinburg,Not Confirmed,98
2024,Live Oak,11-Edinburg,Confirmed Victim,19
2024,McMullen,11-Edinburg,Not Confirmed,2
2024,Nueces,11-Edinburg,Not Confirmed,2620
2024,Nueces,11-Edinburg,Confirmed Victim,839
2024,Refugio,11-Edinburg,Not Confirmed,37
2024,Refugio,11-Edinburg,Confirmed Victim,4
2024,San Patricio,11-Edinburg,Not Confirmed,562
2024,San Patricio,11-Edinburg,Confirmed Victim,170
2024,Starr,11-Edinburg,Not Confirmed,313
2024,Starr,11-Edinburg,Confirmed Victim,38
2024,Webb,11-Edinburg,Not Confirmed,1775
2024,Webb,11-Edinburg,Confirmed Victim,414
2024,Willacy,11-Edinburg,Not Confirmed,183
2024,Willacy,11-Edinburg,Confirmed Victim,95
2024,Zapata,11-Edinburg,Not Confirmed,83
2024,Zapata,11-Edinburg,Confirmed Victim,16
2024,Out of State,Out of State,Not Confirmed,36
2024,Out of State,Out of State,Confirmed Victim,8
2023,Armstrong,1-Lubbock,Not Confirmed,35
2023,Armstrong,1-Lubbock,Confirmed Victim,6
2023,Bailey,1-Lubbock,Not Confirmed,60
2023,Bailey,1-Lubbock,Confirmed Victim,11
2023,Briscoe,1-Lubbock,Confirmed Victim,1
2023,Carson,1-Lubbock,Not Confirmed,54
2023,Carson,1-Lubbock,Confirmed Victim,15
2023,Castro,1-Lubbock,Not Confirmed,36
2023,Castro,1-Lubbock,Confirmed Victim,19
2023,Childress,1-Lubbock,Not Confirmed,76
2023,Childress,1-Lubbock,Confirmed Victim,19
2023,Cochran,1-Lubbock,Not Confirmed,26
2023,Cochran,1-Lubbock,Confirmed Victim,3
2023,Collingsworth,1-Lubbock,Not Confirmed,10
2023,Collingsworth,1-Lubbock,Confirmed Victim,15
2023,Crosby,1-Lubbock,Not Confirmed,57
2023,Crosby,1-Lubbock,Confirmed Victim,13
2023,Dallam,1-Lubbock,Not Confirmed,53
2023,Dallam,1-Lubbock,Confirmed Victim,19
2023,Deaf Smith,1-Lubbock,Not Confirmed,192
2023,Deaf Smith,1-Lubbock,Confirmed Victim,55
2023,Dickens,1-Lubbock,Not Confirmed,10
2023,Dickens,1-Lubbock,Confirmed Victim,2
2023,Donley,1-Lubbock,Not Confirmed,26
2023,Donley,1-Lubbock,Confirmed Victim,18
2023,Floyd,1-Lubbock,Not Confirmed,29
2023,Floyd,1-Lubbock,Confirmed Victim,14
2023,Garza,1-Lubbock,Not Confirmed,45
2023,Garza,1-Lubbock,Confirmed Victim,8
2023,Gray,1-Lubbock,Not Confirmed,292
2023,Gray,1-Lubbock,Confirmed Victim,83
2023,Hale,1-Lubbock,Not Confirmed,312
2023,Hale,1-Lubbock,Confirmed Victim,122
2023,Hall,1-Lubbock,Not Confirmed,30
2023,Hall,1-Lubbock,Confirmed Victim,15
2023,Hansford,1-Lubbock,Not Confirmed,18
2023,Hansford,1-Lubbock,Confirmed Victim,12
2023,Hartley,1-Lubbock,Not Confirmed,28
2023,Hartley,1-Lubbock,Confirmed Victim,3
2023,Hemphill,1-Lubbock,Not Confirmed,12
2023,Hemphill,1-Lubbock,Confirmed Victim,9
